ID,公司,公司类型,职位,Base地,薪资,信息来源,投递状态,最高进展,简历版本,匹配分,投递建议,备注,投递日期偏移,跟进日期偏移
演示-01,星河科技,互联网大厂,产品实习生,北京,200/天,官网,Offer,Offer,产品版V2,88,优先投递,已收到暑期实习Offer,-70,
演示-02,远山咨询,咨询公司,行业研究实习生,上海,180/天,BOSS直聘,拒绝,终面,咨询版V2,84,优先投递,终面后未通过,-62,
演示-03,云帆数据,创业公司,数据分析实习生,杭州,220/天,实习僧,二面,二面,数据分析版V2,91,优先投递,等待二面反馈,-18,-1
演示-04,青禾消费,消费品牌,用户研究实习生,上海,180/天,公众号,一面,一面,产品版V2,82,建议投递,需要准备用户访谈案例,-12,0
演示-05,北辰证券,金融机构,行业分析实习生,深圳,150/天,学校就业网,笔试,笔试,咨询版V1,76,建议投递,已完成在线测试,-8,2
演示-06,矩阵智能,AI创业公司,AI产品实习生,北京,250/天,内推,已投递,已投递,产品版V2,93,优先投递,内推人建议一周后跟进,-5,3
演示-07,海风出行,互联网平台,策略运营实习生,广州,180/天,BOSS直聘,拒绝,一面,产品版V1,79,建议投递,一面后岗位冻结,-48,
演示-08,明川制造,制造业,数字化项目实习生,苏州,160/天,官网,放弃,已投递,默认版,68,谨慎投递,通勤距离过远,-35,
演示-09,新叶公益,社会组织,项目运营实习生,成都,120/天,公众号,待投递,待投递,产品版V1,74,建议投递,等待完善作品集,-2,5
演示-10,瀚海云服务,ToB科技,商业分析实习生,上海,200/天,领英,终面,终面,数据分析版V2,89,优先投递,等待终面结果,-28,1
演示-11,微光教育,教育科技,增长运营实习生,北京,180/天,实习僧,拒绝,笔试,默认版,71,谨慎投递,笔试未通过,-55,
演示-12,山岚机器人,智能制造,市场分析实习生,深圳,200/天,内推,已投递,已投递,咨询版V2,86,优先投递,已发送作品集,-3,4
